,lon,lat,dist
1,-72.5833333333,40.8065313554,68.43447793738704
2,-72.5875,40.8061767875,70.1471501969604
3,-72.5916666667,40.8065474897,72.60375429113036
4,-72.595,40.8051507039,99.8387437393479
5,-72.5975,40.8038370291,76.64084877309598
6,-72.6016666667,40.8033784383,70.68852563181845
7,-72.605,40.8027176907,74.38970283561643
8,-72.6073564278,40.8008333333,109.25220839856684
9,-72.61,40.7993127855,75.10402499507184
10,-72.6133333333,40.7990152044,70.23587618487312
11,-72.6175,40.7988229765,70.23483139203621
12,-72.6208333333,40.7993988178,54.27397409644725
14,-72.6241666667,40.7965894376,9.557252157746083
15,-72.6266666667,40.7949071669,28.796112713055866
16,-72.6308333333,40.794613441,70.18582819729043
17,-72.635,40.7947041749,70.15633624318704
18,-72.6383333333,40.7935214702,82.71589182408664
19,-72.640143566,40.7916666667,22.946368213695433
20,-72.6433333333,40.7901877384,72.8159945061565
21,-72.6466666667,40.7897244077,71.36483566272558
22,-72.65,40.7890345782,33.557826249891875
23,-72.6533333333,40.7875061337,82.31426812842223
24,-72.6558333333,40.7865082622,43.955543397852765
25,-72.6592083741,40.7858333333,3.535599989889177
26,-72.6633333333,40.7854443217,70.53145758787801
27,-72.6675,40.7854615288,70.16665107384657
28,-72.669881193,40.7833333333,104.4432883636514
29,-72.6725,40.78199934,74.02091364416201
30,-72.6758333333,40.7814187605,72.61958007437583
31,-72.68,40.7811803477,70.19934487946138
32,-72.6841666667,40.781611325,70.72727214414301
33,-72.6866666667,40.7797006255,40.358461547978976
34,-72.6893820074,40.7783333333,18.589289338448577
35,-72.6933333333,40.7776860028,72.0584000993247
36,-72.6966666667,40.7766837218,76.44569122666981
37,-72.7,40.7764404268,72.54472159206799
38,-72.7029619488,40.775,63.94176005186534
39,-72.7058333333,40.7738969162,72.34953005768843
40,-72.71,40.773865552,70.20310356899672
41,-72.7141666667,40.7737848709,70.17628319990209
42,-72.7175,40.7746132294,79.66770895213767
43,-72.7198080541,40.7725,96.17299347749517
44,-72.7216666667,40.770551115,51.25605078949713
45,-72.725,40.76993681,69.85441715056652
46,-72.7291666667,40.7693481727,72.93186470377277
47,-72.7324132376,40.7683333333,66.44913271409031
48,-72.7337972453,40.7658333333,92.71116207712147
49,-72.7366666667,40.7641862107,76.25561858170771
50,-72.74,40.7634577253,73.29371851178222
51,-72.7431710878,40.7625,60.470664598823745
52,-72.7466666667,40.7617103633,76.08886052180723
53,-72.7491666667,40.7607301577,34.600266456578446
54,-72.7533333333,40.7602661192,70.53832650314659
55,-72.7566666667,40.7599041427,55.611056499473676
56,-72.7608333333,40.7592633063,71.74420507055223
57,-72.7641666667,40.7586122896,75.28761861430813
58,-72.7666666667,40.7572964376,40.64142913087073
59,-72.7699495152,40.7558333333,73.99999715022014
60,-72.7733333333,40.7550148942,72.20731122604718
61,-72.7766666667,40.7546212625,70.80862910505797
62,-72.7808333333,40.7543501061,71.99442339362159
63,-72.7833333333,40.7532830725,11.109429975511809
64,-72.7866666667,40.7522706001,60.6222757012851
65,-72.79,40.7509065668,75.6529228407714
66,-72.7925,40.7508537793,28.775979161632414
67,-72.7966666667,40.7515717518,71.4125103853936
68,-72.7991666667,40.7491838138,113.29402087074818
69,-72.8025,40.7483782462,70.705555885655
70,-72.8056504216,40.7475,68.12337387956146
71,-72.8079992649,40.7458333333,57.83329589453079
72,-72.81,40.744040946,19.55616968214976
73,-72.8133333333,40.7428831727,72.20891548980562
74,-72.8166666667,40.7420233596,76.1628367143006
75,-72.8191666667,40.740785492,9.50076498567112
76,-72.8223971068,40.7391666667,67.96749346240748
77,-72.8258333333,40.7391136906,70.77938473296462
78,-72.83,40.7386514637,73.33524141130474
79,-72.8333333333,40.7377385347,75.42762067444409
80,-72.8358333333,40.7361424654,89.18615935067702
81,-72.8391666667,40.7354178551,71.21222926233588
82,-72.8425,40.7345731757,80.42020819852388
83,-72.8457625679,40.7333333333,69.20531020828258
84,-72.8483333333,40.7322068954,62.536566758692445
85,-72.8513220913,40.7308333333,47.99337872613128
86,-72.8541666667,40.7299337729,22.667726620697454
87,-72.8583333333,40.7294654118,70.23386829260032
88,-72.8625,40.7294735002,70.26620854675136
89,-72.8658333333,40.7287057582,81.3435730552062
90,-72.8691666667,40.7276416517,72.20150456940088
91,-72.8725,40.7270931338,71.82804295287757
92,-72.8766666667,40.7267989279,83.89729286450981
93,-72.8783333333,40.724660337,50.50557049944525
